"Country","Region","Month","Female","Male","Hotelstay","Otherstay","Age0to12","Age13to20","Age21to35","Age36to49","Age50over","Leisure","Business","Conf_Convention","Education","Friend_Family","Otherreason"
"Finland","Europe",2022-08-01,10,20,17,13,0,0,12,9,9,17,7,1,0,5,0
"France","Europe",2022-08-01,9049,8447,14629,2867,2784,2396,4506,4334,3476,15793,408,31,5,592,667
"Greece","Europe",2022-08-01,27,49,35,41,7,3,28,21,17,42,18,0,1,9,6
"Netherlands","Europe",2022-08-01,1539,1565,2454,650,424,454,1032,670,524,2710,28,2,0,201,163
"Hungary","Europe",2022-08-01,79,92,147,24,6,11,79,41,34,150,3,0,4,9,5
"United Kingdom","Europe",2022-08-01,10110,9289,18216,1183,3080,2932,4120,5126,4141,18886,207,17,2,195,92
"Ireland","Europe",2022-08-01,165,153,272,46,31,23,122,102,40,299,6,1,0,6,6
"Italy","Europe",2022-08-01,4678,5201,6670,3209,874,680,4528,2076,1721,8793,128,10,35,724,189
"Luxembourg","Europe",2022-08-01,138,120,190,68,60,36,49,84,29,221,1,0,0,23,13
"Norway","Europe",2022-08-01,35,32,34,33,6,2,27,22,10,51,2,0,1,8,5
"Poland","Europe",2022-08-01,720,651,1203,168,137,161,438,458,177,1228,38,0,0,17,88
"Portugal","Europe",2022-08-01,5108,4660,8652,1116,1136,1227,2452,2928,2025,9492,29,2,3,29,213
"Czech Republic","Europe",2022-08-01,697,623,1209,111,115,161,475,349,220,1225,8,0,0,16,71
"Romania","Europe",2022-08-01,121,110,171,60,19,23,72,71,46,195,1,0,0,17,18
"Russia","Europe",2022-08-01,88,90,80,98,14,8,59,67,30,147,3,0,0,7,21
"Sweden","Europe",2022-08-01,48,54,53,49,8,2,42,21,29,88,1,0,0,9,4
"Switzerland","Europe",2022-08-01,817,868,1186,499,122,168,684,326,385,1185,90,4,3,239,164
"Ukraine","Europe",2022-08-01,106,95,91,110,22,12,94,45,28,157,7,0,1,5,31
"Other Europe","Europe",2022-08-01,241,293,388,146,48,31,255,138,62,440,35,1,1,12,45
"Australia","Australia",2022-08-01,41,56,60,37,4,1,34,32,26,71,11,0,0,7,8
"Other Rest of the World","Other",2022-08-01,189,209,286,112,53,31,102,121,91,316,34,4,0,7,37
"Dom. Residents",NA,2022-09-01,35116,27481,604,61993,3554,5653,20652,14369,18369,31505,1914,1370,3258,6146,18404
"Ext. Residents",NA,2022-09-01,4682,5423,797,9308,967,566,2532,2630,3410,5378,1120,141,259,1036,2171
"Dom. Non-Residents",NA,2022-09-01,47377,41039,4821,83595,1372,2619,20170,23078,41177,52969,1364,278,502,24859,8444
"Canada","North America",2022-09-01,15556,14508,26182,3882,2775,955,8956,6664,10714,28581,309,79,8,506,581
"United States","North America",2022-09-01,68630,68839,88368,49101,11537,5101,43420,37342,40069,112852,4602,1267,400,12519,5829
"Mexico","North America",2022-09-01,2355,3033,4152,1236,180,103,1752,2012,1341,2735,867,1265,17,226,278
"Aruba","Caribbean",2022-09-01,104,143,119,128,60,19,38,58,72,105,3,10,1,52,76
"Turk and Caicos Islands","Caribbean",2022-09-01,114,250,113,251,21,18,115,115,95,203,21,1,0,37,102
"Costa Rica","Central America",2022-09-01,343,467,561,249,21,10,182,310,287,342,231,137,4,46,50
"Cuba","Caribbean",2022-09-01,488,500,467,521,37,50,244,235,422,572,61,34,0,164,157
"Curaçao","Caribbean",2022-09-01,112,195,119,188,29,12,52,82,132,163,23,5,2,67,47
"El Salvador","Central America",2022-09-01,290,294,366,218,21,17,221,179,146,313,61,151,1,30,28
"Guadeloupe","Caribbean",2022-09-01,94,230,131,193,12,5,57,93,157,147,42,5,0,63,67
"Guatemala","Central America",2022-09-01,425,604,771,258,45,27,343,409,205,414,226,296,2,30,61
"Haiti","Caribbean",2022-09-01,964,1233,830,1367,80,66,890,704,457,1054,214,34,46,353,496
"Honduras","Central America",2022-09-01,280,282,305,257,22,17,229,181,113,224,70,144,3,27,94
"Jamaica","Caribbean",2022-09-01,171,198,227,142,17,13,189,100,50,241,27,10,1,13,77
"Martinique","Caribbean",2022-09-01,88,163,155,96,7,0,72,67,105,156,23,10,0,31,31
"Panama","Central America",2022-09-01,1092,1152,1665,579,203,89,586,773,593,1190,501,300,4,94,155
"Puerto Rico","Caribbean",2022-09-01,3790,3969,4993,2766,411,350,2014,2462,2522,5911,426,145,72,589,616
"Saint Martin","Caribbean",2022-09-01,70,137,62,145,30,12,57,44,64,104,7,7,0,58,31
"Trinidad and Tobago","Caribbean",2022-09-01,69,81,98,52,6,12,39,40,53,75,21,18,0,4,32
"U.S. Virgin Islands","Caribbean",2022-09-01,38,66,40,64,15,4,25,25,35,68,7,1,0,20,8
"Other America","North America",2022-09-01,457,568,428,597,54,80,336,287,268,513,67,78,7,130,230
"Argentina","South America",2022-09-01,7586,6915,12724,1777,2295,863,2053,4110,5180,13818,144,286,3,81,169
"Bolivia","South America",2022-09-01,706,570,1028,248,185,68,330,353,340,1170,13,47,12,13,21
"Brazil","South America",2022-09-01,3195,3164,5530,829,416,208,2513,1875,1347,5635,224,105,8,94,293
"Chile","South America",2022-09-01,5309,4578,8598,1289,1861,816,2123,2771,2316,9291,117,135,13,167,164
"Colombia","South America",2022-09-01,13536,10982,17955,6563,1384,1030,8387,7140,6577,20499,1016,1660,135,430,778
"Ecuador","South America",2022-09-01,1834,1443,2344,933,290,348,1118,891,630,2658,70,270,15,105,159
"Peru","South America",2022-09-01,3310,2677,4492,1495,462,327,1986,1725,1487,4950,149,390,31,139,328
"Uruguay","South America",2022-09-01,1055,970,1762,263,388,122,346,542,627,1899,25,66,0,7,28
"Venezuela","South America",2022-09-01,2498,2775,1578,3695,442,688,969,1180,1994,2595,295,41,29,381,1932
"Other South America","South America",2022-09-01,623,460,893,190,124,53,313,339,254,866,17,155,4,18,23
"China","Asia",2022-09-01,27,82,29,80,0,0,55,38,16,21,53,5,4,13,13
"South Korea","Asia",2022-09-01,21,61,46,36,1,0,16,37,28,25,28,6,0,18,5
"India","Asia",2022-09-01,20,86,46,60,2,1,41,38,24,38,21,5,0,3,39
"Israel","Asia",2022-09-01,282,300,485,97,36,30,368,90,58,471,15,7,0,18,71
"Japan","Asia",2022-09-01,7,29,19,17,0,0,13,13,10,13,16,0,1,4,2
"Taiwan","Asia",2022-09-01,9,13,13,9,0,0,5,4,13,7,3,0,0,12,0
"Other Asia","Asia",2022-09-01,160,362,261,261,13,11,236,176,86,267,48,5,4,32,166
"Germany","Europe",2022-09-01,6478,6670,11365,1783,311,461,5684,2336,4356,10596,256,9,22,454,1811
"Austria","Europe",2022-09-01,267,341,459,149,9,27,285,96,191,478,10,0,0,37,83
"Belgium","Europe",2022-09-01,1026,921,1627,320,34,91,966,337,519,1730,33,3,1,91,89
"Bulgaria","Europe",2022-09-01,25,30,21,34,1,1,15,18,20,37,5,0,0,6,7
"Denmark","Europe",2022-09-01,59,67,95,31,5,9,47,34,31,96,13,0,1,12,4
"Scotland","Europe",2022-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2022-09-01,7080,7820,10764,4136,991,772,5168,4127,3842,11754,823,191,64,1287,781
"Finland","Europe",2022-09-01,12,24,19,17,0,0,9,14,13,28,3,0,0,3,2
"France","Europe",2022-09-01,3515,3449,5593,1371,121,176,3124,1317,2226,5852,220,13,4,404,471
"Greece","Europe",2022-09-01,13,34,26,21,0,1,17,16,13,27,11,2,0,0,7
"Netherlands","Europe",2022-09-01,1226,1220,1996,450,88,65,1110,476,707,2029,48,4,5,156,204
"Hungary","Europe",2022-09-01,174,173,278,69,5,6,160,96,80,328,2,0,0,7,10
"United Kingdom","Europe",2022-09-01,8815,7750,15681,884,590,650,5969,3330,6026,16125,184,19,7,107,123
"Ireland","Europe",2022-09-01,169,165,302,32,15,8,151,107,53,310,16,0,0,2,6
"Italy","Europe",2022-09-01,1553,2118,2195,1476,256,138,1546,713,1018,2940,111,9,90,396,125
"Luxembourg","Europe",2022-09-01,40,43,69,14,2,1,42,16,22,61,2,1,0,11,8
"Norway","Europe",2022-09-01,28,52,37,43,7,3,29,20,21,62,4,1,0,10,3
"Poland","Europe",2022-09-01,1061,1049,1851,259,81,69,1218,483,259,1896,35,2,0,22,155
"Portugal","Europe",2022-09-01,2788,2521,4633,676,387,318,2194,1353,1057,5041,42,10,4,20,192
"Czech Republic","Europe",2022-09-01,390,351,590,151,19,48,354,166,154,677,2,0,0,22,40
"Romania","Europe",2022-09-01,169,151,258,62,11,7,208,66,28,276,3,2,0,16,23
"Russia","Europe",2022-09-01,92,131,81,142,22,9,81,80,31,154,5,0,3,24,37
"Sweden","Europe",2022-09-01,46,60,72,34,5,4,37,24,36,79,5,0,0,19,3
"Switzerland","Europe",2022-09-01,1061,1169,1495,735,159,94,898,432,647,1543,110,1,3,335,238
"Ukraine","Europe",2022-09-01,96,97,103,90,8,10,82,52,41,143,7,3,0,9,31
"Other Europe","Europe",2022-09-01,284,344,443,185,25,28,303,144,128,530,37,6,0,21,34
"Australia","Australia",2022-09-01,34,63,73,24,5,2,40,23,27,84,6,2,0,3,2
"Other Rest of the World","Other",2022-09-01,128,189,233,84,14,6,120,114,63,145,46,82,0,12,32
"Dom. Residents",NA,2022-10-01,30710,26189,575,56324,2281,2693,15249,15984,20692,31959,2086,2195,658,5796,14205
"Ext. Residents",NA,2022-10-01,4998,6237,883,10352,856,448,2878,3237,3816,6274,1284,253,122,1054,2248
"Dom. Non-Residents",NA,2022-10-01,49456,41967,4909,86514,1037,2390,20097,23409,44490,55115,1551,353,279,25359,8766
"Canada","North America",2022-10-01,24649,22174,41401,5422,4613,2271,11326,11075,17538,44833,419,123,11,619,818
"United States","North America",2022-10-01,76035,77583,100284,53334,12361,5855,46235,41560,47607,126619,5588,1174,256,13482,6499
"Mexico","North America",2022-10-01,2150,2853,3446,1557,154,111,1903,1634,1201,2940,831,589,15,258,370
"Aruba","Caribbean",2022-10-01,90,135,108,117,11,15,41,56,102,100,5,29,0,40,51
"Turk and Caicos Islands","Caribbean",2022-10-01,164,263,203,224,38,9,113,137,130,255,14,8,0,42,108
"Costa Rica","Central America",2022-10-01,492,674,728,438,29,28,352,437,320,482,404,132,4,81,63
"Cuba","Caribbean",2022-10-01,468,472,477,463,34,40,176,255,435,553,76,48,3,136,124
"Curaçao","Caribbean",2022-10-01,257,306,343,220,61,37,103,131,231,365,27,20,5,57,89
"El Salvador","Central America",2022-10-01,442,445,539,348,37,20,359,288,183,570,76,140,17,52,32
"Guadeloupe","Caribbean",2022-10-01,218,233,208,243,32,12,85,136,186,247,25,57,0,71,51
"Guatemala","Central America",2022-10-01,613,837,1002,448,93,66,511,499,281,914,227,134,7,92,76
"Haiti","Caribbean",2022-10-01,1193,1580,986,1787,132,72,1104,847,618,1400,276,73,43,469,512
"Honduras","Central America",2022-10-01,368,377,411,334,37,27,288,223,170,397,63,161,2,45,77
"Jamaica","Caribbean",2022-10-01,235,347,386,196,35,26,285,133,103,382,68,45,4,10,73
"Martinique","Caribbean",2022-10-01,205,254,300,159,62,8,84,125,180,299,20,14,1,53,72
"Panama","Central America",2022-10-01,868,1297,1469,696,141,65,642,842,475,923,613,286,7,184,152
"Puerto Rico","Caribbean",2022-10-01,4377,5003,6303,3077,456,399,2462,2942,3121,6817,655,410,61,671,766
"Saint Martin","Caribbean",2022-10-01,122,176,119,179,34,12,75,100,77,161,11,13,0,47,66
"Trinidad and Tobago","Caribbean",2022-10-01,92,99,128,63,6,2,49,62,72,96,24,34,0,21,16
"U.S. Virgin Islands","Caribbean",2022-10-01,47,74,51,70,13,5,19,34,50,58,8,11,1,22,21
"Other America","North America",2022-10-01,437,666,644,459,55,43,390,301,314,617,108,158,1,93,126
"Argentina","South America",2022-10-01,8132,7149,13348,1933,2143,758,2270,4141,5969,14617,153,217,2,109,183
"Bolivia","South America",2022-10-01,587,449,873,163,125,103,260,342,206,967,14,19,3,14,19
"Brazil","South America",2022-10-01,3587,3527,6280,834,504,230,2486,2303,1591,6011,282,396,6,59,360
"Chile","South America",2022-10-01,6192,4893,9521,1564,1420,487,2856,3266,3056,10535,113,183,6,124,124
"Colombia","South America",2022-10-01,15825,13512,21442,7895,2796,1634,9000,8449,7458,25820,1160,843,105,541,868
"Ecuador","South America",2022-10-01,1432,1112,1810,734,212,136,1038,644,514,2198,48,131,5,91,71
"Peru","South America",2022-10-01,4764,3811,7026,1549,991,1613,1857,2322,1792,7825,184,139,24,115,288
"Uruguay","South America",2022-10-01,1171,968,1876,263,242,84,438,555,820,2037,28,30,1,8,35
"Venezuela","South America",2022-10-01,2063,2451,1180,3334,220,624,953,1018,1699,1960,274,104,40,370,1766
"Other South America","South America",2022-10-01,428,376,671,133,68,42,243,182,269,696,17,43,0,16,32
"China","Asia",2022-10-01,51,150,50,151,1,2,79,89,30,32,73,11,2,14,69
"South Korea","Asia",2022-10-01,21,66,35,52,5,5,18,32,27,28,29,4,2,9,15
"India","Asia",2022-10-01,12,79,46,45,1,1,34,30,25,30,26,2,0,6,27
"Israel","Asia",2022-10-01,274,264,435,103,36,31,293,76,102,456,30,3,0,8,41
"Japan","Asia",2022-10-01,20,49,43,26,2,1,21,20,25,13,36,3,1,11,5
"Taiwan","Asia",2022-10-01,7,11,10,8,1,0,8,5,4,14,3,0,0,1,0
"Other Asia","Asia",2022-10-01,157,401,251,307,27,9,256,175,91,280,71,21,1,21,164
"Germany","Europe",2022-10-01,8249,8116,14050,2315,1272,1029,5339,3822,4903,13246,415,34,18,432,2220
"Austria","Europe",2022-10-01,488,533,812,209,57,41,370,249,304,777,23,4,2,51,164
"Belgium","Europe",2022-10-01,1340,1254,2135,459,341,220,642,721,670,2351,56,3,0,112,72
"Bulgaria","Europe",2022-10-01,58,86,98,46,6,3,49,45,41,123,2,0,0,4,15
"Denmark","Europe",2022-10-01,108,119,178,49,24,34,44,51,74,189,15,0,0,6,17
"Scotland","Europe",2022-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2022-10-01,6187,7221,9761,3647,853,400,3959,4198,3998,10346,993,468,28,1122,451
"Finland","Europe",2022-10-01,60,51,78,33,8,7,31,35,30,94,10,0,0,5,2
"France","Europe",2022-10-01,7825,7405,12836,2394,2405,1577,3072,4604,3572,13739,322,40,3,384,742
"Greece","Europe",2022-10-01,12,26,13,25,1,0,15,9,13,12,9,0,0,8,9
"Netherlands","Europe",2022-10-01,1177,1168,1828,517,206,156,814,518,651,1969,43,9,1,150,173
"Hungary","Europe",2022-10-01,218,233,374,77,35,28,132,139,117,421,2,1,0,9,18
"United Kingdom","Europe",2022-10-01,8240,7477,14796,921,1739,1108,4202,3971,4697,15207,201,22,7,137,143
"Ireland","Europe",2022-10-01,170,189,307,52,42,20,99,137,61,332,9,0,0,14,4
"Italy","Europe",2022-10-01,1859,2381,2645,1595,267,146,1576,879,1372,3483,163,21,4,438,131
"Luxembourg","Europe",2022-10-01,76,73,123,26,11,9,43,40,46,134,1,3,0,5,6
"Norway","Europe",2022-10-01,81,90,109,62,16,8,41,49,57,119,10,7,5,22,8
"Poland","Europe",2022-10-01,1064,993,1758,299,157,37,1027,541,295,1821,32,1,2,47,154
"Portugal","Europe",2022-10-01,1983,1807,3291,499,201,67,1626,1075,821,3552,64,13,0,22,139
"Czech Republic","Europe",2022-10-01,756,697,1236,217,152,74,458,413,356,1314,2,0,0,24,113
"Romania","Europe",2022-10-01,349,376,651,74,54,24,323,238,86,639,24,3,0,16,43
"Russia","Europe",2022-10-01,178,251,198,231,35,22,171,134,67,352,12,2,3,12,48
"Sweden","Europe",2022-10-01,95,113,154,54,26,27,53,59,43,181,5,5,0,9,8
"Switzerland","Europe",2022-10-01,2056,2026,3142,940,543,353,1133,984,1069,3129,120,6,0,396,431
"Ukraine","Europe",2022-10-01,146,114,160,100,34,13,98,57,58,217,5,1,0,12,25
"Other Europe","Europe",2022-10-01,554,597,934,217,96,54,445,373,183,1009,48,5,0,39,50
"Australia","Australia",2022-10-01,49,62,66,45,5,0,33,36,37,87,10,4,1,8,1
"Other Rest of the World","Other",2022-10-01,67,110,109,68,4,3,58,63,49,85,48,17,2,1,24
"Dom. Residents",NA,2022-11-01,32022,27288,1017,58293,2616,2796,16380,16309,21209,33637,2109,2075,596,6296,14597
"Ext. Residents",NA,2022-11-01,5200,6278,1273,10205,1023,527,2880,3133,3915,6828,1093,204,127,1136,2090
"Dom. Non-Residents",NA,2022-11-01,52850,41825,5384,89291,1180,2282,18546,23559,49108,55904,1481,326,219,27595,9150
"Canada","North America",2022-11-01,47082,42939,80441,9580,9357,2915,17758,20965,39026,86829,679,649,6,696,1162
"United States","North America",2022-11-01,94303,94579,128541,60341,20890,10751,48916,52975,55350,159614,6061,1797,236,14321,6853
"Mexico","North America",2022-11-01,2477,3422,4222,1677,183,145,2115,1960,1496,3421,1090,752,17,270,349
"Aruba","Caribbean",2022-11-01,88,121,92,117,13,34,45,48,69,88,2,5,1,49,64
"Turk and Caicos Islands","Caribbean",2022-11-01,104,215,110,209,24,7,70,102,116,152,14,6,0,25,122
"Costa Rica","Central America",2022-11-01,682,868,968,582,76,129,416,524,405,725,373,162,27,73,190
"Cuba","Caribbean",2022-11-01,368,392,391,369,28,42,140,182,368,459,53,47,8,98,95
"Curaçao","Caribbean",2022-11-01,114,217,181,150,10,19,61,90,151,161,24,16,1,58,71
"El Salvador","Central America",2022-11-01,497,465,575,387,61,61,352,267,221,676,92,108,5,36,45
"Guadeloupe","Caribbean",2022-11-01,163,226,169,220,11,9,107,112,150,183,46,53,2,64,41
"Guatemala","Central America",2022-11-01,867,1052,1322,597,179,143,597,635,365,1338,242,159,5,68,107
"Haiti","Caribbean",2022-11-01,1164,1527,953,1738,89,65,1108,869,560,1313,261,118,41,463,495
"Honduras","Central America",2022-11-01,296,336,348,284,41,17,232,201,141,283,60,171,0,38,80
"Jamaica","Caribbean",2022-11-01,322,388,477,233,51,42,370,171,76,528,45,28,4,22,83
"Martinique","Caribbean",2022-11-01,179,221,250,150,13,13,93,104,177,243,22,16,0,45,74
"Panama","Central America",2022-11-01,1422,1614,2115,921,310,149,858,1016,703,1992,493,224,6,147,174
"Puerto Rico","Caribbean",2022-11-01,4407,5015,5940,3482,551,508,2185,2885,3293,7047,634,187,44,799,711
"Saint Martin","Caribbean",2022-11-01,69,110,52,127,13,15,48,41,62,84,6,5,17,32,35
"Trinidad and Tobago","Caribbean",2022-11-01,60,74,90,44,3,0,37,57,37,68,16,30,0,7,13
"U.S. Virgin Islands","Caribbean",2022-11-01,53,63,47,69,20,4,17,24,51,77,5,0,0,16,18
"Other America","North America",2022-11-01,275,542,366,451,48,47,243,233,246,372,79,123,1,90,152
"Argentina","South America",2022-11-01,8550,7395,13690,2255,2000,721,2797,3988,6439,15143,190,235,33,104,240
"Bolivia","South America",2022-11-01,605,538,959,184,126,166,294,290,267,992,29,79,0,17,26
"Brazil","South America",2022-11-01,3841,3739,6580,1000,495,168,2752,2393,1772,6261,323,532,3,89,372
"Chile","South America",2022-11-01,5019,3973,7440,1552,1033,385,2613,2334,2627,8368,122,166,16,147,173
"Colombia","South America",2022-11-01,12809,10710,17094,6425,1498,1334,8156,6638,5893,20551,1081,615,59,494,719
"Ecuador","South America",2022-11-01,1801,1488,2450,839,242,278,1223,912,634,2880,63,138,4,98,106
"Peru","South America",2022-11-01,3387,2740,4757,1370,422,457,1908,1713,1627,5420,158,196,14,140,199
"Uruguay","South America",2022-11-01,1054,888,1712,230,238,62,455,517,670,1787,41,65,1,15,33
"Venezuela","South America",2022-11-01,1746,2195,1013,2928,165,464,796,881,1635,1614,286,108,21,423,1489
"Other South America","South America",2022-11-01,418,311,611,118,85,27,256,187,174,639,8,52,2,9,19
"China","Asia",2022-11-01,42,158,77,123,0,18,74,81,27,56,77,19,0,9,39
"South Korea","Asia",2022-11-01,39,90,68,61,0,4,29,60,36,59,48,2,0,13,7
"India","Asia",2022-11-01,59,186,180,65,2,0,163,61,19,31,28,143,0,5,38
"Israel","Asia",2022-11-01,60,83,91,52,13,1,60,30,39,107,12,0,0,12,12
"Japan","Asia",2022-11-01,23,66,62,27,2,1,24,24,38,25,39,9,0,8,8
"Taiwan","Asia",2022-11-01,6,12,10,8,0,0,3,9,6,9,8,0,0,1,0
"Other Asia","Asia",2022-11-01,164,483,283,364,24,21,290,221,91,312,68,24,1,22,220
"Germany","Europe",2022-11-01,8234,8398,13836,2796,444,181,5555,3222,7230,13120,606,31,24,486,2365
"Austria","Europe",2022-11-01,553,609,954,208,33,21,388,226,494,931,24,5,0,57,145
"Belgium","Europe",2022-11-01,1233,1192,1979,446,76,30,777,542,1000,2159,51,12,0,121,82
"Bulgaria","Europe",2022-11-01,147,172,250,69,10,10,87,133,79,275,3,1,0,14,26
"Denmark","Europe",2022-11-01,211,200,337,74,46,7,100,75,183,378,19,1,0,6,7
"Scotland","Europe",2022-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2022-11-01,6014,7214,9054,4174,959,335,3496,4079,4359,10015,1064,251,15,1410,473
"Finland","Europe",2022-11-01,82,89,131,40,8,4,61,49,49,157,5,1,0,2,6
"France","Europe",2022-11-01,6792,6632,11179,2245,681,241,3835,3418,5249,11437,424,523,9,420,611
"Greece","Europe",2022-11-01,29,53,54,28,3,0,32,22,25,48,15,3,0,8,8
"Netherlands","Europe",2022-11-01,978,1049,1485,542,75,42,751,411,748,1651,47,11,2,177,139
"Hungary","Europe",2022-11-01,323,309,538,94,30,21,260,157,164,584,10,0,0,16,22
"United Kingdom","Europe",2022-11-01,8088,7379,14505,962,730,406,5171,3151,6009,14855,286,57,2,92,175
"Ireland","Europe",2022-11-01,137,150,238,49,16,4,83,107,77,261,10,2,0,11,3
"Italy","Europe",2022-11-01,2891,3781,4039,2633,423,224,2156,1383,2486,5480,194,24,7,742,225
"Luxembourg","Europe",2022-11-01,61,71,95,37,5,1,46,30,50,117,1,1,0,7,6
"Norway","Europe",2022-11-01,105,106,143,68,21,6,68,45,71,174,4,2,0,23,8
"Poland","Europe",2022-11-01,3874,3509,6855,528,362,178,2652,2197,1994,6732,213,38,0,24,376
"Portugal","Europe",2022-11-01,966,998,1718,246,83,32,673,603,573,1784,70,31,0,24,55
"Czech Republic","Europe",2022-11-01,1244,1075,2040,279,147,76,718,608,770,2167,10,0,0,21,121
"Romania","Europe",2022-11-01,594,575,1042,127,70,19,610,293,177,1075,12,2,0,6,74
"Russia","Europe",2022-11-01,155,173,195,133,19,6,115,124,64,269,10,2,1,20,26
"Sweden","Europe",2022-11-01,274,292,478,88,28,15,146,122,255,491,26,11,0,16,22
"Switzerland","Europe",2022-11-01,1575,1653,2399,829,120,84,1064,606,1354,2492,111,19,4,283,319
"Ukraine","Europe",2022-11-01,242,183,288,137,41,20,172,113,79,374,6,0,0,11,34
"Other Europe","Europe",2022-11-01,808,933,1393,348,97,46,691,408,499,1485,58,16,3,39,140
"Australia","Australia",2022-11-01,40,53,57,36,7,4,34,33,15,77,7,0,0,5,4
"Other Rest of the World","Other",2022-11-01,23,131,82,72,3,8,36,49,58,78,30,6,0,17,23
"Dom. Residents",NA,2022-12-01,25985,24904,950,49939,2360,3399,15071,13606,16453,17694,1180,1023,380,4242,26370
"Ext. Residents",NA,2022-12-01,4895,5976,765,10106,1486,749,2646,2642,3348,3755,627,91,46,714,5638
"Dom. Non-Residents",NA,2022-12-01,98623,85180,8700,175103,4711,10736,44413,48251,75692,105113,1613,169,243,66687,9978
"Canada","North America",2022-12-01,59645,57317,103855,13107,16338,11662,23333,27343,38286,112759,522,94,163,2169,1255
"United States","North America",2022-12-01,118997,120065,154056,85006,36000,24879,61388,54709,62086,198898,4237,650,501,28054,6722
"Mexico","North America",2022-12-01,2934,3401,4117,2218,553,432,2126,1803,1421,4434,566,182,7,834,312
"Aruba","Caribbean",2022-12-01,180,156,89,247,94,46,58,55,83,176,5,1,0,129,25
"Turk and Caicos Islands","Caribbean",2022-12-01,156,287,177,266,74,39,81,123,126,277,7,0,0,83,76
"Costa Rica","Central America",2022-12-01,777,807,792,792,180,122,438,504,340,1060,153,41,0,282,48
"Cuba","Caribbean",2022-12-01,548,607,604,551,38,53,210,299,555,635,154,23,2,242,99
"Curaçao","Caribbean",2022-12-01,340,450,399,391,128,69,139,161,293,572,21,2,0,145,50
"El Salvador","Central America",2022-12-01,583,515,627,471,76,65,461,259,237,899,25,26,0,115,33
"Guadeloupe","Caribbean",2022-12-01,261,399,199,461,132,74,97,117,240,338,18,6,3,212,83
"Guatemala","Central America",2022-12-01,1112,1042,1535,619,271,218,655,582,428,1805,113,21,2,131,82
"Haiti","Caribbean",2022-12-01,1540,1966,1469,2037,195,135,1307,1127,742,2000,280,72,33,636,485
"Honduras","Central America",2022-12-01,154,190,170,174,14,25,138,82,85,182,25,18,0,79,40
"Jamaica","Caribbean",2022-12-01,468,508,679,297,124,80,479,205,88,773,33,12,4,40,114
"Martinique","Caribbean",2022-12-01,232,328,264,296,84,64,81,99,232,297,10,14,18,150,71
"Panama","Central America",2022-12-01,1102,1406,1501,1007,272,372,775,585,504,1494,338,54,8,438,176
"Puerto Rico","Caribbean",2022-12-01,4481,5183,5055,4609,969,797,2289,2563,3046,6648,485,60,35,1764,672
"Saint Martin","Caribbean",2022-12-01,169,264,87,346,131,45,79,71,107,206,17,0,2,178,30
"Trinidad and Tobago","Caribbean",2022-12-01,53,72,98,27,7,6,28,48,36,82,15,5,0,15,8
"U.S. Virgin Islands","Caribbean",2022-12-01,72,143,41,174,47,22,36,31,79,104,3,0,0,91,17
"Other America","North America",2022-12-01,349,590,348,591,103,61,262,247,266,411,29,24,0,273,202
"Argentina","South America",2022-12-01,7193,6397,12055,1535,2263,1348,2537,3629,3813,12924,64,14,3,399,186
"Bolivia","South America",2022-12-01,812,722,1337,197,281,223,366,346,318,1467,3,8,1,24,31
"Brazil","South America",2022-12-01,4715,4492,8190,1017,962,612,2902,2868,1863,8380,157,115,8,151,396
"Chile","South America",2022-12-01,4155,3798,6565,1388,1268,774,1964,2111,1836,7273,73,20,5,442,140
"Colombia","South America",2022-12-01,15279,12681,20526,7434,2716,2404,8226,7118,7496,25236,627,135,20,1361,581
"Ecuador","South America",2022-12-01,1858,1647,2582,923,387,333,1188,879,718,3066,62,57,4,208,108
"Peru","South America",2022-12-01,3777,3131,5613,1295,615,784,2255,1716,1538,6255,119,22,7,288,217
"Uruguay","South America",2022-12-01,875,805,1230,450,140,581,330,315,314,1592,13,1,1,33,40
"Venezuela","South America",2022-12-01,3501,3354,2038,4817,564,611,1275,1375,3030,3346,193,59,17,838,2402
"Other South America","South America",2022-12-01,511,439,769,181,176,81,253,266,174,884,4,2,2,34,24
"China","Asia",2022-12-01,62,89,95,56,1,11,85,34,20,95,32,0,0,13,11
"South Korea","Asia",2022-12-01,41,66,69,38,5,2,26,38,36,62,21,7,0,10,7
"India","Asia",2022-12-01,14,97,45,66,1,3,55,38,14,35,4,0,0,5,67
"Israel","Asia",2022-12-01,134,145,234,45,22,10,108,54,85,209,21,21,0,13,15
"Japan","Asia",2022-12-01,31,55,59,27,10,0,32,23,21,50,14,0,0,16,6
"Taiwan","Asia",2022-12-01,12,10,15,7,1,3,4,9,5,15,1,0,0,6,0
"Other Asia","Asia",2022-12-01,267,464,427,304,47,25,297,254,108,427,39,7,1,37,220
"Germany","Europe",2022-12-01,6877,7432,10960,3349,933,739,4179,2948,5510,11249,556,12,13,811,1668
"Austria","Europe",2022-12-01,754,850,1205,399,150,92,430,336,596,1298,13,0,0,156,137
"Belgium","Europe",2022-12-01,1394,1389,2314,469,341,158,686,700,898,2474,24,5,5,179,96
"Bulgaria","Europe",2022-12-01,366,350,645,71,90,67,151,223,185,659,4,0,1,12,40
