"Country","Date","Predicted"
"Switzerland",2025-01-01,3542
"Switzerland",2025-02-01,1417
"Switzerland",2025-03-01,1711
"Switzerland",2025-04-01,2656
"Switzerland",2025-05-01,3231
"Switzerland",2025-06-01,4417
"Ukraine",2025-01-01,347
"Ukraine",2025-02-01,495
"Ukraine",2025-03-01,644
"Ukraine",2025-04-01,786
"Ukraine",2025-05-01,920
"Ukraine",2025-06-01,1053
"Other Europe",2025-01-01,580
"Other Europe",2025-02-01,471
"Other Europe",2025-03-01,591
"Other Europe",2025-04-01,1065
"Other Europe",2025-05-01,1673
"Other Europe",2025-06-01,1830
"Australia",2025-01-01,142
"Australia",2025-02-01,141
"Australia",2025-03-01,134
"Australia",2025-04-01,150
"Australia",2025-05-01,179
"Australia",2025-06-01,175
"Other Rest of the World",2025-01-01,271
"Other Rest of the World",2025-02-01,304
"Other Rest of the World",2025-03-01,291
"Other Rest of the World",2025-04-01,321
"Other Rest of the World",2025-05-01,318
"Other Rest of the World",2025-06-01,293
